AOR Filepath,Target Coordinates
/data1/phot_cal/spitzer/taurus/r5081856,04 35 48.2 +24 16 12
/data1/phot_cal/spitzer/taurus/r3653120,04 31 38.0 +18 14 20
/data1/phot_cal/spitzer/taurus/r5075200,04 23 36.4 +26 40 07
/data1/phot_cal/spitzer/taurus/r5075200,04 23 30.6 +26 46 46
/data1/phot_cal/spitzer/taurus/r5078272,04 30 06.4 +24 25 55
/data1/phot_cal/spitzer/taurus/r5078272,04 30 01.7 +24 32 34
/data1/phot_cal/spitzer/taurus/r5079296,04 31 53.3 +24 36 11
/data1/phot_cal/spitzer/taurus/r5080320,04 32 36.1 +24 52 05
/data1/phot_cal/spitzer/taurus/r5080320,04 32 31.5 +24 58 45
/data1/phot_cal/spitzer/taurus/r5081344,04 32 45.6 +24 27 38
/data1/phot_cal/spitzer/taurus/r5082368,04 35 52.4 +24 09 33
/data1/phot_cal/spitzer/taurus/r5082368,04 35 48.2 +24 16 12
/data1/phot_cal/spitzer/taurus/r5082880,04 40 54.8 +26 13 24
/data1/phot_cal/spitzer/taurus/r5083392,04 40 54.8 +26 13 24
/data1/phot_cal/spitzer/taurus/r5084416,04 41 29.8 +26 04 12
/data1/phot_cal/spitzer/taurus/r5084928,04 41 29.8 +26 04 12
/data1/phot_cal/spitzer/taurus/r5085440,04 41 41.0 +25 45 47
/data1/phot_cal/spitzer/taurus/r5085952,04 41 41.0 +25 45 47
/data1/phot_cal/spitzer/taurus/r6634752,04 40 57.1 +25 57 27
/data1/phot_cal/spitzer/taurus/r6635008,04 40 57.1 +25 57 27
/data1/phot_cal/spitzer/taurus/r4912640,04 10 55.7 +25 05 43
/data1/phot_cal/spitzer/taurus/r3653888,04 14 28.7 +28 12 19
/data1/phot_cal/spitzer/taurus/r3965184,04 31 27.5 +17 06 24
/data1/phot_cal/spitzer/taurus/r3965184,04 31 32.3 +16 59 43
/data1/phot_cal/spitzer/taurus/r3965184,04 32 30.4 +17 31 38
/data1/phot_cal/spitzer/taurus/r3965184,04 32 36.0 +17 24 53
/data1/phot_cal/spitzer/taurus/r3965184,04 33 39.5 +17 51 48
