File# ACenX ACenY FCenX FCenY Time[MJD] Raw_Flux Bkg_Flux Res_Flux
62997248_0042 304.78894014177763 36.876545655744394 131.99622648883624 61.77488437638428 57871.1664434 17291.26291118662 201.8820184633669 17089.380892723253
62997248_0043 348.6040545924044 17.9604708368924 131.99622648883624 61.77488437638428 57871.1665684 17291.26291118662 201.8820184633669 17089.380892723253
62997248_0044 411.3143286106212 102.28153826715433 131.99622648883624 61.77488437638428 57871.1667305 17291.26291118662 201.8820184633669 17089.380892723253
62997248_0045 114.16266370324364 -5.577390678413154 131.99622648883624 61.77488437638428 57871.1669618 17291.26291118662 201.8820184633669 17089.380892723253
62997248_0046 -10.706473869326233 124.80898151070879 131.99622648883624 61.77488437638428 57871.167147 17291.26291118662 201.8820184633669 17089.380892723253
62997248_0047 -36.08293108584069 90.47436660615242 131.99622648883624 61.77488437638428 57871.1672674 17291.26291118662 201.8820184633669 17089.380892723253
62997248_0048 66.2872282320892 100.49690568837333 66.50346368225557 100.94868472115115 57871.1674249 17774.249923698535 254.11707154810284 17520.132852150433
62997248_0049 -11.60095752624807 57.451295369333025 66.50346368225557 100.94868472115115 57871.1675776 17774.249923698535 254.11707154810284 17520.132852150433
63088896_0000 511.323411403332 146.05863667872248 66.50346368225557 100.94868472115115 57886.6641034 17774.249923698535 254.11707154810284 17520.132852150433
63088896_0001 420.2032458448866 92.32418377136646 66.50346368225557 100.94868472115115 57886.6642885 17774.249923698535 254.11707154810284 17520.132852150433
63088896_0002 459.18690558054254 137.70634726619028 66.50346368225557 100.94868472115115 57886.6644227 17774.249923698535 254.11707154810284 17520.132852150433
63088896_0003 562.5828923098425 153.43089265474288 66.50346368225557 100.94868472115115 57886.6645802 17774.249923698535 254.11707154810284 17520.132852150433
63088896_0004 415.399052113882 239.25965531881184 66.50346368225557 100.94868472115115 57886.6647701 17774.249923698535 254.11707154810284 17520.132852150433
63088896_0005 103.52956217770677 93.14227691256082 102.98276335717169 93.91217397980024 57886.6650062 18139.39162312736 297.786338413058 17841.605284714304
63088896_0006 160.02545921340533 192.5129002979998 159.23392065207653 192.8945969174929 57886.6651682 18217.27215325131 257.08063607591856 17960.19151717539
63088896_0007 228.65834250540624 117.4458554661957 228.03451508894597 117.99388441177416 57886.6653303 18953.38975022781 323.5321379584505 18629.85761226936
63088896_0008 129.9612754957689 120.94076279642894 129.42047853667614 121.8000102003359 57886.6654829 17063.373519677923 237.99906809892335 16825.374451579
63088896_0009 193.17417213756428 95.92602221607683 192.80687150462543 96.67943205219117 57886.6656172 17074.871936550768 274.1889243288296 16800.68301222194
63088896_0010 404.58923245147577 163.58156646109222 192.80687150462543 96.67943205219117 57886.6658164 17074.871936550768 274.1889243288296 16800.68301222194
63088896_0011 366.8282971632846 204.90479126175097 192.80687150462543 96.67943205219117 57886.6659506 17074.871936550768 274.1889243288296 16800.68301222194
63088896_0012 382.97270738632324 191.22664140857034 192.80687150462543 96.67943205219117 57886.6660616 17074.871936550768 274.1889243288296 16800.68301222194
63088896_0013 383.7369264754223 228.86521873760867 192.80687150462543 96.67943205219117 57886.6661775 17074.871936550768 274.1889243288296 16800.68301222194
63088896_0014 355.2208392252705 265.6996293420808 192.80687150462543 96.67943205219117 57886.6663024 17074.871936550768 274.1889243288296 16800.68301222194
63088896_0015 74.2258944677911 218.2427388800866 74.01105069261604 218.80632845105907 57886.6665246 17905.21234214696 237.6657932458713 17667.546548901086
63088896_0016 58.47080614401618 128.1209022963534 58.09497591250045 128.7609247889133 57886.6666775 18028.73408323268 231.89984011844444 17796.834243114237
63088896_0017 100.81191010375346 236.47304519777686 100.33059894115111 236.97950555696093 57886.6668347 17858.694288038532 309.22491671202704 17549.469371326504
63088896_0018 25.663107136008225 166.5639725265705 25.16604290216488 167.0357110608536 57886.6670014 19171.375985967832 265.7312312865458 18905.644754681285
63088896_0019 100.30794776998967 134.77481862010956 100.08151214376461 134.99425973395532 57886.6671496 18561.60930197309 230.82899231511888 18330.78030965797
