AOR Filepath,Target Coordinates
/data1/phot_cal/spitzer/michaela/r40452096,02 48 09.1505304050 +27 04 07.109092260
/data1/phot_cal/spitzer/michaela/r40452352,12 28 31.5942321891 -18 17 50.240776219
/data1/phot_cal/spitzer/michaela/r40452608,03 57 28.6989213844 -01 09 34.071545156
/data1/phot_cal/spitzer/michaela/r40452864,11 29 48.0915774507 -51 39 46.816439576
/data1/phot_cal/spitzer/michaela/r40453120,14 03 32.3512374876 +10 47 12.439942066
/data1/phot_cal/spitzer/michaela/r40453376,08 14 35.9143447137 +13 01 22.174166830
/data1/phot_cal/spitzer/michaela/r40453632,13 46 43.3235859006 +25 42 08.054809908
/data1/phot_cal/spitzer/michaela/r40453888,21 31 01.7141405072 +23 20 07.370852589
/data1/phot_cal/spitzer/michaela/r40454144,10 31 24.2170618951 +45 31 33.780854869
/data1/phot_cal/spitzer/michaela/r40454400,10 36 04.50734 -26 40 31.7332
/data1/phot_cal/spitzer/michaela/r40454656,13 39 30.4483768579 +52 55 16.345001165
/data1/phot_cal/spitzer/michaela/r40454912,08 43 18.0304005386 -38 52 56.570025600
/data1/phot_cal/spitzer/michaela/r40455168,21 57 41.2038459151 -51 00 22.240381058
/data1/phot_cal/spitzer/michaela/r40455424,22 10 08.7803395485 -32 32 54.275502381
/data1/phot_cal/spitzer/michaela/r40455680,06 06 24.6835357751 +63 50 06.487549605
/data1/phot_cal/spitzer/michaela/r40455936,00 45 50.88948 +54 58 40.1992
/data1/phot_cal/spitzer/michaela/r40456192,03 43 55.3429383864 -19 06 39.233302358
/data1/phot_cal/spitzer/michaela/r40456448,13 33 32.3996148814 +08 35 12.346817507
/data1/phot_cal/spitzer/michaela/r40456704,12 41 44.5224610977 +55 43 28.823352008
/data1/phot_cal/spitzer/michaela/r40456960,06 54 38.63478 +13 10 40.2207
/data1/phot_cal/spitzer/michaela/r40457216,21 44 08.57793 +28 44 33.4731
/data1/phot_cal/spitzer/michaela/r40457472,10 45 21.4867878709 +38 30 42.303786920
/data1/phot_cal/spitzer/michaela/r40457728,08 53 06.0954749924 +52 23 24.824704420
/data1/phot_cal/spitzer/michaela/r40457984,02 22 01.5317565095 -10 46 39.120266207
/data1/phot_cal/spitzer/michaela/r40458240,09 58 30.0421940557 +67 03 16.001769847
/data1/phot_cal/spitzer/michaela/r40458496,14 30 10.3538510265 -43 32 49.017187419
/data1/phot_cal/spitzer/michaela/r40458752,13 33 29.4122568861 -43 25 21.968318459
/data1/phot_cal/spitzer/michaela/r40459008,16 57 42.2281896066 +47 21 43.714396845
/data1/phot_cal/spitzer/michaela/r40459264,03 02 26.0262812920 +26 36 33.260208751
/data1/phot_cal/spitzer/michaela/r40459520,11 45 36.4143547769 -66 43 43.465089263
/data1/phot_cal/spitzer/michaela/r40459776,08 00 32.1297149403 +29 12 44.476641343
/data1/phot_cal/spitzer/michaela/r40460032,22 53 16.7323107416 -14 15 49.303409936
/data1/phot_cal/spitzer/michaela/r40460288,14 16 32.84326 +20 07 18.6591
/data1/phot_cal/spitzer/michaela/r40460544,04 15 28.8004956278 +06 11 12.699896698
/data1/phot_cal/spitzer/michaela/r40460800,10 49 53.7264046855 +27 58 26.213932451
/data1/phot_cal/spitzer/michaela/r40461056,13 37 51.22158 +48 08 17.0977
/data1/phot_cal/spitzer/michaela/r40461312,21 44 00.3755581872 -57 16 58.996427089
/data1/phot_cal/spitzer/michaela/r40461568,01 02 21.1343215744 -10 25 25.894201641
/data1/phot_cal/spitzer/michaela/r40461824,15 20 50.0778121502 +31 28 48.389578605
/data1/phot_cal/spitzer/michaela/r40462080,20 27 44.2428093744 -30 52 04.246660714
/data1/phot_cal/spitzer/michaela/r40462336,09 32 43.7594363452 +26 59 18.708212270
/data1/phot_cal/spitzer/michaela/r40462592,17 41 56.35536 +72 08 55.8481
/data1/phot_cal/spitzer/michaela/r40462848,09 35 39.5018053382 +35 48 36.484070234
/data1/phot_cal/spitzer/michaela/r40463104,22 57 27.9804167474 +20 46 07.782240714
/data1/phot_cal/spitzer/michaela/r40463360,16 20 52.7397737881 +40 57 41.219865627
