,AORKEY,Original Flux (mJy),2_2_6 Flux (mJy),Systematics Flux (mJy),bcd1 Flux (mJy),bcd32 Flux (mJy),bcd64 Flux (mJy),5_5_10 Flux (mJy),Different Sky Subtraction Flux (mJy),"r5, medBCD Flux (mJy)",Original Spread (%),2_2_6 Spread (%),Systematics Spread (%),bcd1 Spread (%),bcd32 Spread (%),bcd64 Spread (%),5_5_10 Spread (%),Different Sky Subtraction Spread (%),"r5, medBCD Spread (%)"
738,40717568,1600.3174813,1451.03557058,1658.52195919,1621.83466431,1659.87047174,1484.92476609,1502.27431177,1543.89866305,1503.30701311,2.0267368208,1.01933397985,1.6138664525,5.05557952571,6.61810107491,4.13501737711,1.04411457598,2.82452014521,1.22722880861
739,40717824,2583.97982346,2359.5435123,2687.25783228,2565.00394349,2525.59796779,2623.5723224,2449.95107471,2545.38052282,2464.17612471,1.10771970156,1.0256661821,1.56080723479,1.10152442845,1.46965257677,1.71411799584,1.07334392912,1.43274344261,2.24578783895
740,40718080,6219.44232532,5819.50207409,2687.25783228,6181.2996056,6293.59490431,6221.75916507,6041.06935534,6126.99833557,5977.42665059,1.73881813764,1.39406261633,1.56080723479,1.74368464504,1.5537586488,1.56726349843,1.61107845044,2.1885621512,0.540159505035
741,40718592,2191.83388243,1880.95232933,2279.549215,2204.90763334,2182.98658876,2228.5284345,2053.28893349,2136.79575066,2065.23687162,2.21037889247,1.47284938489,2.42145113716,2.61626703966,2.35839187049,0.849430904516,1.31549078133,1.70998526712,2.43416540425
742,40718848,3944.11934672,3571.35180267,4092.54980287,3950.01889229,3915.49661895,4032.38988947,3629.05096336,3822.14921034,3650.50823397,1.08104311013,1.4375115031,1.43329642503,1.13032785127,1.15613538928,1.13021424214,0.823106236801,1.40067225704,1.91407363219
743,40719360,1804.14640381,1532.63594117,1873.59693139,1784.38816465,1817.25027451,1866.56558913,1569.51234263,1759.00418557,1571.1575825,3.01697498463,1.10566384049,3.46019527914,4.3212933959,4.99835188857,4.82257995879,1.3773012108,1.86967035022,1.85233606804
744,40719616,1934.04487506,1768.6371728,1873.59693139,1932.51588098,1946.72956677,2041.45503674,1854.24133281,1909.97078637,1851.90062475,1.48302374768,2.54157132844,3.46019527914,1.91151498606,0.265885967372,1.84184220567,1.76584922974,1.19018216133,1.71773225198
745,40720384,1362.04729302,1163.7723876,1413.21885582,1307.46590223,1309.94104611,1347.88237097,1215.72021868,1287.35329525,1226.03408162,4.76344797303,2.41494017794,4.49419293116,5.33239010269,11.2723256101,3.80265070924,0.848594623725,3.23857925573,1.47042155565
746,40720640,381.693954466,490.208291009,396.495037121,379.522993314,383.647118694,376.427107842,492.458847295,216.948731349,485.656613937,7.00620038201,0.928782723521,7.38962959633,10.5213739529,6.77914434237,4.48774502603,1.44768128039,18.4597118852,1.04700266899
747,40721152,1797.75202405,1612.90870827,1866.62063877,1800.40034986,1801.12636425,1787.41721268,1682.39766762,1747.41361534,1719.54489272,4.39657588939,2.29088462084,4.0745351068,6.75432401001,6.14646714427,5.23879237616,2.26205264143,3.15333149103,0.278495452749
748,40721408,2214.44743413,2059.09214158,2303.81892778,2221.27247475,2174.43196805,2206.75792637,2118.99725227,2128.36291967,2120.59896193,2.93414929309,1.10181114388,2.84553381243,6.02046957702,3.07288559701,3.46293955243,1.62397799997,3.22953108888,1.54374975811
749,40721664,2129.44271073,1950.70444158,2210.54977386,2158.97996084,2183.08221935,2134.7224669,2005.62464336,2034.92782843,2012.22838401,2.94042393498,1.64966462988,2.98627292769,1.61850892314,3.71087747139,3.14114881252,1.38978477771,1.69576301157,1.75887125961
750,40721920,1699.92011876,1530.02746832,1762.34942508,1656.4649824,1684.76281973,1697.73126483,1583.49176859,1633.12647531,1563.53747995,1.17001569364,1.50083102048,0.893851881635,5.51702976105,4.95046529494,4.33849088543,1.72047048076,1.94204308249,0.990144820499
751,40722176,2452.39259146,2187.30136119,2547.23661197,2486.35744594,2454.05619381,2449.3463049,2275.87859189,2381.02599326,2285.05757798,2.05248990965,2.11102074591,2.24756547829,4.31956850347,3.49331690837,2.5985072147,1.295434107,1.25640687199,1.57527562303
