File#,Coord Conversion Issue,Centroiding Issue,Bad Center Guess,Not In FOV,Ap Out Of Bound,Xc,Yc,Fx,Fy,Time[MJD],Raw_Flux,Bkg_Flux,Res_Flux
148,X,X,X,O,O,nan,nan,nan,nan,53858.4117548,nan,nan,nan
149,X,X,X,O,O,nan,nan,nan,nan,53858.410741,nan,nan,nan
150,X,X,X,O,O,nan,nan,nan,nan,53858.4112778,nan,nan,nan
151,X,X,X,O,O,nan,nan,nan,nan,53858.4138104,nan,nan,nan
152,X,X,X,X,O,-569.7636575224892,-257.98002332880776,0.2611544251651704,573.366835289462,53858.4159169,nan,nan,nan
153,X,X,X,X,X,155.14114194653513,149.0330728796195,1.3683198849750593,1.0527579406503234,53858.4159491,1.9626784056856879,-0.05696414820882673,2.0196425538945144
154,X,X,X,X,X,172.86562149584694,222.72987626147875,2.5696650736608353,1.7056115597473822,53858.414912,2.2923256567919656,0.2968727325730702,1.9954529242188954
155,X,X,X,O,O,nan,nan,nan,nan,53858.4190835,nan,nan,nan
156,X,X,X,O,O,nan,nan,nan,nan,53858.4195789,nan,nan,nan
157,X,X,X,O,O,nan,nan,nan,nan,53858.4210649,nan,nan,nan
158,X,X,X,O,O,nan,nan,nan,nan,53858.4191203,nan,nan,nan
159,X,X,X,O,O,nan,nan,nan,nan,53858.4206063,nan,nan,nan
160,X,X,X,O,O,nan,nan,nan,nan,53858.4236666,nan,nan,nan
161,X,X,X,O,O,nan,nan,nan,nan,53858.4226018,nan,nan,nan
162,X,X,X,O,O,nan,nan,nan,nan,53858.4251944,nan,nan,nan
163,X,X,X,O,O,nan,nan,nan,nan,53858.4251576,nan,nan,nan
164,X,X,X,O,O,nan,nan,nan,nan,53858.4256942,nan,nan,nan
165,X,X,X,O,O,nan,nan,nan,nan,53858.4297314,nan,nan,nan
166,X,X,X,O,O,nan,nan,nan,nan,53858.4296945,nan,nan,nan
167,X,X,X,O,O,nan,nan,nan,nan,53858.4317729,nan,nan,nan
168,X,X,X,O,O,nan,nan,nan,nan,53858.4317361,nan,nan,nan
169,X,X,X,O,O,nan,nan,nan,nan,53858.4337683,nan,nan,nan
170,X,X,X,O,O,nan,nan,nan,nan,53858.4353654,nan,nan,nan
171,X,X,X,O,O,nan,nan,nan,nan,53858.4348331,nan,nan,nan
172,X,X,X,O,O,nan,nan,nan,nan,53858.4363981,nan,nan,nan
173,X,X,X,O,O,nan,nan,nan,nan,53858.4327175,nan,nan,nan
174,X,X,X,O,O,nan,nan,nan,nan,53858.4369258,nan,nan,nan
175,X,X,X,O,O,nan,nan,nan,nan,53858.4369627,nan,nan,nan
176,X,X,X,O,O,nan,nan,nan,nan,53858.4395322,nan,nan,nan
