AORKEY,Target Coordinates,DateObs,Mission,Read Mode,Workable/Total Files in AOR,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
19360512,"270.62808754,  58.627265",2006-07-12T15:56:34.149,CRYO,FULL,5/10,NO,--,--,0.4,53928.6642841,637.9691328673522,5.630690075826427,0.8825960043739564,0
19465984,"270.62808754,  58.627265",2006-06-08T00:41:30.465,CRYO,FULL,5/10,NO,--,--,0.4,53894.0288248,642.6353121752575,2.413282209283728,0.37552903856387915,0
19466240,"270.62808754,  58.627265",2006-06-08T05:47:20.131,CRYO,FULL,5/10,NO,--,--,0.4,53894.2412052,641.8353808121526,4.064757581396966,0.6333021991174101,0
19466496,"270.62808754,  58.627265",2006-06-08T23:11:53.714,CRYO,FULL,5/10,NO,--,--,0.4,53894.9665939,640.551687766864,6.7737158240724185,1.057481535594328,0
19602432,"270.62808754,  58.627265",2006-08-07T23:56:24.754,CRYO,FULL,5/10,NO,--,--,0.4,53954.9975087,636.6420738216186,4.678897530938135,0.7349337600092576,0
19602688,"270.62808754,  58.627265",2006-08-14T21:27:31.776,CRYO,FULL,5/10,NO,--,--,0.4,53961.8941178,639.172185306873,2.099116280187907,0.3284117063354533,0
20151040,"270.62808754,  58.627265",2006-09-28T13:42:49.303,CRYO,FULL,5/10,NO,--,--,0.4,54006.571404,638.279775882105,3.9457454633671563,0.6181843154773502,0
20162816,"270.62808754,  58.627265",2006-09-19T02:26:07.716,CRYO,FULL,5/10,NO,--,--,0.4,53997.1014782,641.6234626808674,3.678743380915191,0.5733492608802766,0
20412416,"270.62808754,  58.627265",2006-08-31T10:06:22.064,CRYO,FULL,250/250,NO,--,--,0.4,53978.4210887,644.7387505478991,3.8789373251823926,0.6016293144915008,2
20596224,"270.62808754,  58.627265",2006-10-25T23:46:25.792,CRYO,FULL,5/10,NO,--,--,0.4,54033.9905763,637.1590284586853,1.8607432578445562,0.2920374937393217,0
20596480,"270.62808754,  58.627265",2006-10-31T22:26:56.833,CRYO,FULL,5/10,NO,--,--,0.4,54039.93538,638.3128935135653,5.112855991590417,0.8009952553906479,0
20785152,"270.62808754,  58.627265",2006-11-22T02:48:00.521,CRYO,FULL,5/10,NO,--,--,0.4,54061.1166727,638.054506088358,3.3584831897836955,0.5263630548388621,0
20785408,"270.62808754,  58.627265",2006-11-30T18:47:46.759,CRYO,FULL,5/10,NO,--,--,0.4,54069.7831801,640.3452034110575,2.0056125044158106,0.31320801557224215,0
20955136,"270.62808754,  58.627265",2006-11-24T11:39:19.922,CRYO,FULL,5/10,NO,--,--,0.4,54063.4856472,640.6784859484569,2.545107149053941,0.397251851728122,0
20955392,"270.62808754,  58.627265",2006-11-25T01:52:25.232,CRYO,FULL,5/10,NO,--,--,0.4,54064.0780698,638.4690505299486,1.8923854317098336,0.2963942308776121,0
20955648,"270.62808754,  58.627265",2006-11-26T12:11:20.554,CRYO,FULL,5/10,NO,--,--,0.4,54065.5078768,642.49434782569,5.304625349086795,0.8256298856228926,0
20960256,"270.62808754,  58.627265",2006-12-25T01:48:14.017,CRYO,FULL,5/10,NO,--,--,0.4,54094.0751622,640.2638820145229,3.1330432702752873,0.4893362499876608,0
20960512,"270.62808754,  58.627265",2006-12-31T06:01:58.348,CRYO,FULL,5/10,NO,--,--,0.4,54100.2513698,642.3413025208058,4.066307203339997,0.6330446426817288,0
21128704,"270.62808754,  58.627265",2007-02-14T05:38:05.431,CRYO,FULL,5/10,NO,--,--,0.4,54145.2347851,639.0729830873775,1.794475299192456,0.28079348473210386,0
21128960,"270.62808754,  58.627265",2007-02-22T00:01:11.111,CRYO,FULL,5/10,NO,--,--,0.4,54153.000823,638.3593479012063,1.8432067506429426,0.2887412484367975,0
21359360,"270.62808754,  58.627265",2007-03-28T18:08:55.160,CRYO,FULL,5/10,NO,--,--,0.4,54187.756194,637.7487105632291,3.118821677142208,0.4890361400163105,0
21359616,"270.62808754,  58.627265",2007-04-05T01:27:21.551,CRYO,FULL,5/10,NO,--,--,0.4,54195.0606661,637.3822284215917,1.372320077111951,0.21530566996044959,0
21529088,"270.62808754,  58.627265",2007-05-06T04:17:47.707,CRYO,FULL,4/10,NO,--,--,0.4,54226.1790244,647.6990429191244,4.897436891953141,0.756128474403916,0
21531392,"270.62808754,  58.627265",2007-05-17T04:34:51.027,CRYO,FULL,5/10,NO,--,--,0.4,54237.1908684,638.2283008665836,4.672102918361321,0.7320425797504686,0
23525376,"270.62808754,  58.627265",2007-07-05T07:10:04.547,CRYO,FULL,5/10,NO,--,--,0.4,54286.2986637,641.3902888033258,2.1393807394552904,0.33355365318156605,0
23527680,"270.62808754,  58.627265",2007-06-27T23:39:59.309,CRYO,FULL,5/10,NO,--,--,0.4,54278.9861031,640.2309533177394,2.4903936744448165,0.3889836412218674,0
