AORKEY,DateObs,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%)
39120128,2010-03-26T02:39:52.199,NO,--,--,2.0,55281.1110208,39.37496275113726,0.5456769276695226,1.3858474765255793
39141120,2010-04-09T08:39:00.091,NO,--,--,2.0,55295.3604177,38.9312413191863,0.6722617975006375,1.726792608509326
39212544,2010-04-23T02:57:21.671,NO,--,--,2.0,55309.1231675,39.155500285870474,0.26672982303851706,0.6812065254974364
39226880,2010-05-07T12:39:18.182,NO,--,--,2.0,55323.5272938,38.799920467459245,0.9826218892144367,2.5325358335168318
39346688,2010-05-21T01:43:20.051,NO,--,--,2.0,55337.0717598,39.21111611865286,0.3183757515647256,0.8119527906354932
39364096,2010-06-05T10:52:33.432,NO,--,--,2.0,55352.4531647,39.22902269075572,1.020282808889705,2.6008366737367985
39423488,2010-06-16T22:20:05.189,NO,--,--,2.0,55363.9306156,38.987227297102216,0.43728711259344405,1.1216163418370253
39449088,2010-07-03T12:16:53.572,NO,--,--,2.0,55380.5117312,39.058077527303816,0.7283790414558247,1.8648614769803924
39528192,2010-07-15T22:45:18.979,NO,--,--,2.0,55392.9481363,38.88844271409115,0.8636204690373961,2.2207638279237782
39545600,2010-07-31T02:06:41.290,NO,--,--,2.0,55408.0879779,39.25634120265899,0.4425333939838214,1.1272914908174043
40254208,2010-08-12T19:13:17.548,NO,--,--,2.0,55420.8008975,39.655202823804316,0.5461396215213408,1.3772205981342323
40270592,2010-08-27T05:36:05.040,NO,--,--,2.0,55435.2333917,40.76419248996946,2.868080572390421,7.03578409678089
40314880,2010-09-09T18:45:42.014,NO,--,--,2.0,55448.7817363,39.34478413489468,0.6738364582031916,1.7126449490558255
41011968,2010-09-25T19:01:07.235,NO,--,--,2.0,55464.7924448,37.25250463140731,4.214341102299348,11.312906726669508
41090304,2010-10-07T18:10:22.543,NO,--,--,2.0,55476.7572054,39.01971936048257,0.7535755000236413,1.9312683750022788
41167872,2010-10-23T07:13:49.462,NO,--,--,2.0,55492.3012669,39.24538551228492,0.270510865801123,0.689280694456283
41221632,2010-11-04T20:02:25.547,NO,--,--,2.0,55504.8350179,39.19659158773393,0.6301163479751205,1.607579441096882
41243392,2010-11-20T08:47:29.969,NO,--,--,2.0,55520.3663191,39.941921467370825,0.42651016362670197,1.0678258530329463
41395712,2010-12-03T11:58:55.028,NO,--,--,2.0,55533.499248,39.21513760790233,0.517560079594608,1.3197966682394437
41423104,2010-12-19T00:28:36.202,NO,--,--,2.0,55549.0198635,39.06405750690683,0.412109795068058,1.0549590118619752
41594368,2010-12-31T04:42:28.321,NO,--,--,2.0,55561.1961611,39.37385572041455,0.3515283929339015,0.8927964673564879
41612032,2011-01-18T17:06:52.203,NO,--,--,2.0,55579.7131042,39.491848126550664,0.900328880665165,2.279784115901801
41667840,2011-01-28T05:15:53.607,NO,--,--,2.0,55589.2193704,39.33463627971064,0.42620074120775564,1.0835253138659275
41858048,2011-02-12T23:57:44.648,NO,--,--,2.0,55604.9984334,39.02940991978103,0.47193151189998334,1.2091689648138833
41877248,2011-02-25T03:39:21.210,NO,--,--,2.0,55617.1523288,38.985552718905396,0.44193057749129877,1.1335752520368703
41919744,2011-03-12T16:40:11.204,NO,--,--,2.0,55632.6945741,39.15138062632733,0.3320263812518473,0.8480579124930687
41984000,2011-03-25T12:28:01.506,NO,--,--,2.0,55645.5194619,39.46241284555986,0.6144880775152162,1.5571477596164163
42001920,2011-04-08T11:48:58.910,NO,--,--,2.0,55659.4923485,38.85105072185043,0.8144093058681676,2.096234955648526
42029824,2011-04-24T11:17:38.216,NO,--,--,2.0,55675.4705812,39.23065534521951,0.5300085672032289,1.351006152049442
42073088,2011-05-20T12:16:29.894,NO,--,--,2.0,55701.5114571,39.28987194253607,0.46702552574671896,1.1886664492818237
42153984,2011-06-03T11:02:59.080,NO,--,--,2.0,55715.460406,39.55974878521357,0.7730302743118322,1.9540828697091506
42543616,2011-06-17T13:01:56.883,NO,--,--,2.0,55729.5430195,39.503451431592616,0.4762208413488789,1.205517047475058
42589952,2011-07-01T11:42:48.182,NO,--,--,2.0,55743.4880577,39.746180319688655,0.5872454795631327,1.4774890941463246
42765312,2011-07-16T07:33:01.169,NO,--,--,2.0,55758.3145969,39.6944149247391,0.5208995668234343,1.3122742023306395
43282432,2012-09-27T09:20:09.832,NO,large,5,2.0,56197.3890027,38.749080709677955,0.9141521898820705,2.3591583932822235
43282688,2012-09-24T05:37:05.266,NO,large,5,2.0,56194.2340887,39.12810815881477,0.5845528554087492,1.4939461244488033
43282944,2012-09-21T07:03:32.169,NO,large,5,2.0,56191.2941223,38.970113788329016,0.4647382756764688,1.192550471370836
43283200,2012-09-18T18:21:51.865,NO,large,5,2.0,56188.7651836,39.02223175577569,0.3373468004749944,0.8644989927442158
43283456,2011-11-23T02:21:25.283,NO,large,5,2.0,55888.0982093,38.605318444438986,0.4256931237323771,1.1026799956203892
43283712,2012-09-16T05:38:45.810,NO,large,5,2.0,56186.2352524,38.99646159181647,0.5846169881741778,1.4991539342555673
43283968,2011-11-20T13:00:30.464,NO,large,5,2.0,55885.5420193,39.17338457079605,0.8412910060456081,2.1476086768177662
43284224,2012-09-13T04:35:14.084,NO,large,5,2.0,56183.1911352,39.256679121115006,0.5641875253701653,1.4371758844642197
43284480,2011-11-17T14:09:53.640,NO,large,5,2.0,55882.5902042,39.46046228467649,0.5619132939071222,1.4239906513343803
