File#,Coord Conversion Issue,Centroiding Issue,Bad Center Guess,Not In FOV,Ap Out Of Bound,Xc,Yc,Fx,Fy,Time[MJD],Raw_Flux,Bkg_Flux,Res_Flux
12,Y,N,N,N,N,nan,nan,nan,nan,53822.6045112,nan,nan,nan
13,Y,N,N,N,N,nan,nan,nan,nan,53822.6065307,nan,nan,nan
14,Y,N,N,N,N,nan,nan,nan,nan,53822.6064081,nan,nan,nan
15,N,N,N,N,Y,15.17284428756419,22.02465808017455,1.4528113817271437,1.0152521522271873,53822.6013688,nan,nan,nan
16,N,N,N,N,Y,8.922567914023157,12.147651889277414,1.2649000426881034,1.626292640600683,53822.6010017,nan,nan,nan
17,N,N,N,N,N,20.237037957673913,10.110007957540034,1.4123201472626805,1.1682696625045186,53822.6017369,57613.486864699764,1033.4908160662503,56579.99604863351
18,Y,N,N,N,N,nan,nan,nan,nan,53822.603775,nan,nan,nan
19,Y,N,N,N,N,nan,nan,nan,nan,53822.6041433,nan,nan,nan
20,Y,N,N,N,N,nan,nan,nan,nan,53822.6072668,nan,nan,nan
21,N,N,N,N,Y,8.414789455588009,16.95600375053271,1.287370580035218,1.6620054725653686,53822.6011234,nan,nan,nan
22,N,N,N,N,Y,24.796605140339096,15.529141074590113,1.760039920244542,1.9151917359297017,53822.6016151,nan,nan,nan
23,Y,N,N,N,N,nan,nan,nan,nan,53822.6038976,nan,nan,nan
24,Y,N,N,N,N,nan,nan,nan,nan,53822.6042658,nan,nan,nan
25,Y,N,N,N,N,nan,nan,nan,nan,53822.6043883,nan,nan,nan
26,Y,N,N,N,N,nan,nan,nan,nan,53822.6067771,nan,nan,nan
27,Y,N,N,N,N,nan,nan,nan,nan,53822.6070215,nan,nan,nan
1,Y,N,N,N,N,nan,nan,nan,nan,53822.6121014,nan,nan,nan
2,Y,N,N,N,N,nan,nan,nan,nan,53822.6119776,nan,nan,nan
3,Y,N,N,N,N,nan,nan,nan,nan,53822.6123456,nan,nan,nan
